feature,importance
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-39,0.029348876
check_tier-1_cooling_system_temp_apc-rc-2_unit_air_temp_t-59,0.02904562
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-55,0.028614676
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-42,0.027881242
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-43,0.027737861
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-57,0.027357602
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-25,0.027276514
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-44,0.027253173
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-49,0.027213156
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-51,0.02677716
enter_fluid_temp_t-35,0.026571894
check_tier-1_cooling_system_temp_apc-rc-13_return_air_temp_t-10,0.026375871
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-52,0.026362404
check_tier-1_cooling_system_humidity_apc-rc-10_unit_supply_humidity_t-10,0.026157098
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-31,0.025960384
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-31,0.025945725
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-55,0.025928102
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-59,0.025545863
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-40,0.025315218
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-46,0.02529568
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-47,0.02526181
hour_sin_t-32,0.024967551
enter_fluid_temp_t-33,0.024779567
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-17,0.024636114
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-38,0.024537878
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-43,0.0243791
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-43,0.024303077
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-49,0.02424999
check_tier-1_cooling_system_airflow_apc-rc-5_airflow_t-40,0.02424729
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-54,0.024244608
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-25,0.023911448
check_tier-1_cooling_system_temp_apc-rc-16_return_air_temp_t-7,0.023663368
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-30,0.02338275
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-55,0.023304917
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-54,0.02325891
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-42,0.023153357
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-19,0.022619963
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-36,0.022568738
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-31,0.02236169
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-50,0.02234866
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-43,0.022320459
check_tier-1_cooling_system_temp_apc-rc-19_return_air_temp_t-13,0.022305984
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-30,0.022292383
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-45,0.022251634
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-37,0.021993708
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-32,0.021947458
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-24_fluid_temp_t-37,0.021886135
check_tier-1_cooling_system_cool_output_apc-rc-5_cool_output_t-5,0.02170408
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-45,0.021642061
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-55,0.021561863
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-31,0.021556387
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-37,0.021375323
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-45,0.021161003
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-33,0.020527259
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-59,0.0205201
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-30,0.020218514
enter_fluid_temp_t-29,0.019803965
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-32,0.019725297
