fold,thr,val_f_macro,test_f_macro,train_size,val_size,test_size,train_pos_pct,time_sec
1,0.1,0.9217709737337565,0.7115161499259848,209686,52354,52354,2.016348254056065,661.8716766834259
2,0.1,0.7158015874618129,0.5552211497839429,209686,52354,52354,1.8022185553637344,263.57166624069214
3,0.2,0.9501894370766698,0.9468867731375901,209686,52354,52354,3.5343322873248573,246.2492220401764
4,0.1,0.9637109968361368,0.952667557027919,209686,52354,52354,4.7780967732705095,250.42281866073608
5,0.5,0.969272864268501,0.9506564997798983,209686,52354,52360,5.99515465982469,251.41259241104126
