fold,thr,val_f_macro,test_f_macro,train_size,val_size,test_size,train_pos_pct,time_sec
1,0.1,0.9217709737337565,0.7115161499259848,209686,52354,52354,2.016348254056065,598.8347475528717
2,0.1,0.7158015874618129,0.5552211497839429,209686,52354,52354,1.8022185553637344,275.4456205368042
3,0.2,0.9501894370766698,0.9468867731375901,209686,52354,52354,3.5343322873248573,270.2635004520416
4,0.1,0.9637109968361368,0.952667557027919,209686,52354,52354,4.7780967732705095,268.2331073284149
5,0.5,0.969272864268501,0.9506564997798983,209686,52354,52360,5.99515465982469,272.7992568016052
